Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2000-0008-GTM,2000,0008,,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya,Guatemala,GTM,Central America,Americas,"El Caracol, El Patrocinio, El Rodeo, San Francisco de Sales cities (San Vicente Pacaya district, Escuintla province)",,,,,,,,,,14.381,-90.601,16:15,,2000,1,16,2000,1,16,,,800,,800,,,,,,,58.84064849,2,,64911,San Vicente Pacaya (Adm2). 
2000-0176-JPN,2000,0176,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Isu,Japan,JPN,Eastern Asia,Asia,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",,,,,,,,,,34.92,139.12,,,2000,3,31,2000,4,13,,,12400,,12400,,,,,,,58.84064849,2,,34168;34187;34341,"Abutatyoo, Datesi, Soobetutyoo (Adm2). "
2000-0515-JPN,2000,0515,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Oyama,Japan,JPN,Eastern Asia,Asia,Miyakemura district (Tookyoo province),,,,,,,,,,,,,,2000,8,10,2000,8,10,,,4000,,4000,,,,,,,58.84064849,2,,36316,Miyakemura (Adm2). 
2000-0804-MEX,2000,0804,,Natural,Geophysical,Volcanic activity,Ash fall,,Popocatépetl,Mexico,MEX,Central America,Americas,"Mexico, Puebla, Morelos provinces",,,,,,,,,,19.023,-98.622,19:22,,2000,12,18,2000,12,19,,,41000,,41000,,,,,,,58.84064849,1,2042;2044;2048,,"Mexico, Morelos, Puebla (Adm1). "
2000-0089-PHL,2000,0089,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",,,,Yes,,,647,,,13.257,123.685,,,2000,2,24,2000,3,9,,,68426,,68426,,,,,2214,3763,58.84064849,2,,24240,Albay (Adm2). 
2001-0456-ECU,2001,0456,,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,Ecuador,ECU,South America,Americas,"Quero, Cevallos, Mocha, San Pedro de Pelileo, Tisaleo districts (Tungurahua province), Penipe, Guano districts (Chimborazo province)",,,,Yes,,,420,,,-1.467,-78.442,,,2001,8,14,2001,8,14,,,22770,,22770,,,,,10975,18139,60.50357889,2,,15357;15359;15524;15525;15527;15529;15530,"Cevallos, Guano, Mocha, Penipe, Quero, San Pedro de Pelileo, Tisaleo (Adm2). "
2001-0378-ITA,2001,0378,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Etna,Italy,ITA,Southern Europe,Europe,"Nicolosi municipality (Catania Province, Sicilia Region)",,,,,,,,,,37.734,15.004,,,2001,7,18,2001,7,18,,,,,,,,,,3100,5124,60.50357889,2,,18392,Catania (Adm2). 
2002-0693-ECU,2002,0693,,Natural,Geophysical,Volcanic activity,Ash fall,,Reventador,Ecuador,ECU,South America,Americas,"Pedro Mancayo, Cayambe, Quito, Ruminahui, Mejia districts (Pichincha province), Gonzalo Pizarro district (Sucumbios province), El Chaco, Quijos districts (Napo province)",,,,,,Yes,1614,,,,,9:00,,2002,11,3,2002,11,4,,,128150,,128150,,,,,,,61.46318826,2,,15498;15499;15508;15509;15510;15512;15513;15517,"Cayambe, El Chaco, Gonzalo Pizarro, Mejia, Pedro Moncayo, Quijos, Quito, Rumid??ahui (Adm2). "
2002-0846-ECU,2002,0846,,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,Ecuador,ECU,South America,Americas,Banos de Angua Santa district (Tungurahua province),,,,,,,,,,-1.467,-78.442,,,2002,10,2,2002,10,2,,,21500,,21500,,,,,,,61.46318826,2,,15523,Banos de Agua Santa (Adm2). 
2002-0087-GTM,2002,0087,,Natural,Geophysical,Volcanic activity,Ash fall,,de Fuego,Guatemala,GTM,Central America,Americas,"Del Fuego volcano (Chimaltenango, Sacatepéquez, Escuintla provinces)",,,,,,,,,,14.473,-90.88,,,2002,2,13,2002,2,13,,,,,,,,,,,,61.46318826,1,64823;64824;64825,,"Chimaltenango, Escuintla, Sacatepéquez (Adm1). "
2002-0701-IDN,2002,0701,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Papandayan,Indonesia,IDN,South-Eastern Asia,Asia,"Garut, Bandung (Jawa Barat province)",,,,,,,,,,,,,,2002,11,11,2002,11,11,,,5000,,5000,,,,,,,61.46318826,2,,18012;73636,"Bandung, Garut (Adm2). "
2002-0072-MEX,2002,0072,,Natural,Geophysical,Volcanic activity,Ash fall,,Colima,Mexico,MEX,Central America,Americas,"La Yerbabuena village (Cuauhtemoc district, Colima province)",,,,,,,,,,19.514,-103.62,,,2002,2,6,2002,2,6,,,300,,300,,,,,,,61.46318826,2,,19816,Cuauhtemoc (Adm2). 
